project_code,project_name,category,batch_no,publish_year,entry_type,region_raw,province,protection_unit_normalized,source_url,collected_at
I-115,黑暗传,民间文学,3,2011,new,湖北省保康县,湖北省,保康县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-115,黑暗传,民间文学,3,2011,new,湖北省神农架林区,湖北省,神农架林区群众艺术馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-116,陶克陶胡,民间文学,3,2011,new,吉林省前郭尔罗斯蒙古族自治县,吉林省,前郭尔罗斯蒙古族自治县文化工作总站(前郭县非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-117,密洛陀,民间文学,3,2011,new,广西壮族自治区都安瑶族自治县,广西壮族自治区,都安瑶族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-118,亚鲁王,民间文学,3,2011,new,贵州省紫云苗族布依族自治县,贵州省,紫云苗族布依族自治县亚鲁王文化研究中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-119,目瑙斋瓦,民间文学,3,2011,new,云南省德宏傣族景颇族自治州,云南省,德宏州文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-12,满族说部,民间文学,1,2006,new,吉林省,吉林省,吉林省艺术研究院(吉林省文化行业特有工种职业技能鉴定站、吉林省东北二人转博物馆、吉林省非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-12,满族说部(孙吴县满语故事),民间文学,5,2021,extension,黑龙江省黑河市孙吴县,黑龙江省,孙吴县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-120,洛奇洛耶与扎斯扎依,民间文学,3,2011,new,云南省墨江哈尼族自治县,云南省,墨江哈尼族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-121,阿细先基,民间文学,3,2011,new,云南省弥勒县,云南省,弥勒市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-122,羌戈大战,民间文学,3,2011,new,四川省汶川县,四川省,汶川县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-123,恰克恰克,民间文学,3,2011,new,新疆维吾尔自治区伊宁市,新疆维吾尔自治区,伊宁市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-124,酉阳古歌,民间文学,3,2011,new,重庆市酉阳土家族苗族自治县,重庆市,酉阳土家族苗族自治县文化馆(酉阳土家族苗族自治县文化生态保护中心、酉阳土家族苗族自治县非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-125,谚语(沪谚),民间文学,3,2011,new,上海市闵行区,上海市,上海市闵行区浦江镇文化体育事业发展中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-125,谚语(陕北民谚),民间文学,4,2014,extension,陕西省榆林市,陕西省,榆林市公共文化服务中心(榆林市博物馆、榆林市图书馆、榆林市文化馆),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
