project_code,project_name,category,min_batch,max_batch,first_publish_year,province_list,subitem_count
I-1,苗族古歌,民间文学,1,5,2006,湖南省、贵州省,4
I-10,西施传说,民间文学,1,1,2006,浙江省,1
I-100,王羲之传说,民间文学,3,3,2011,浙江省,1
I-101,李时珍传说,民间文学,3,3,2011,湖北省,1
I-102,蔡伦造纸传说,民间文学,3,3,2011,陕西省,1
I-103,牡丹传说,民间文学,3,3,2011,山东省,1
I-104,泰山传说,民间文学,3,3,2011,山东省,1
I-105,黄鹤楼传说,民间文学,3,3,2011,湖北省,1
I-106,烂柯山的传说,民间文学,3,3,2011,山西省、浙江省,2
I-107,珞巴族始祖传说,民间文学,3,3,2011,西藏自治区,1
I-108,阿尼玛卿雪山传说,民间文学,3,3,2011,青海省,1
I-109,锡伯族民间故事,民间文学,3,3,2011,辽宁省,1
I-11,济公传说,民间文学,1,1,2006,浙江省,1
I-110,嘉黎民间故事,民间文学,3,3,2011,西藏自治区,1
I-111,海洋动物故事,民间文学,3,3,2011,浙江省,1
I-112,土家族哭嫁歌,民间文学,3,3,2011,湖南省,2
I-113,坡芽情歌,民间文学,3,3,2011,云南省,1
I-114,祝赞词,民间文学,3,5,2011,内蒙古自治区、新疆维吾尔自治区、甘肃省,4
I-115,黑暗传,民间文学,3,3,2011,湖北省,2
I-116,陶克陶胡,民间文学,3,3,2011,吉林省,1
I-117,密洛陀,民间文学,3,3,2011,广西壮族自治区,1
I-118,亚鲁王,民间文学,3,3,2011,贵州省,1
I-119,目瑙斋瓦,民间文学,3,3,2011,云南省,1
I-12,满族说部,民间文学,1,5,2006,吉林省、黑龙江省,2
I-120,洛奇洛耶与扎斯扎依,民间文学,3,3,2011,云南省,1
I-121,阿细先基,民间文学,3,3,2011,云南省,1
I-122,羌戈大战,民间文学,3,3,2011,四川省,1
I-123,恰克恰克,民间文学,3,3,2011,新疆维吾尔自治区,1
I-124,酉阳古歌,民间文学,3,3,2011,重庆市,1
I-125,谚语(沪谚),民间文学,3,5,2011,上海市、新疆维吾尔自治区、陕西省,3
I-126,卢沟桥传说,民间文学,4,4,2014,北京市,1
I-127,鬼谷子传说,民间文学,4,4,2014,河北省,1
I-128,东海孝妇传说,民间文学,4,4,2014,江苏省,1
I-129,刘阮传说,民间文学,4,4,2014,浙江省,1
I-13,河西宝卷,民间文学,1,5,2006,江苏省、甘肃省,6
I-130,孔雀东南飞传说,民间文学,4,4,2014,安徽省,2
I-131,老子传说,民间文学,4,4,2014,安徽省、河南省,2
I-132,陈三五娘传说,民间文学,4,4,2014,福建省,1
I-133,胡峄阳传说,民间文学,4,4,2014,山东省,1
I-134,孟母教子传说,民间文学,4,4,2014,山东省,1
I-135,河图洛书传说,民间文学,4,4,2014,河南省,1
I-136,杞人忧天传说,民间文学,4,4,2014,河南省,1
I-137,三国传说,民间文学,4,4,2014,湖北省,1
I-138,伯牙子期传说,民间文学,4,4,2014,湖北省,1
I-139,尹吉甫传说,民间文学,4,4,2014,湖北省,1
I-14,耿村民间故事,民间文学,1,1,2006,河北省,1
I-140,苏仙传说,民间文学,4,4,2014,湖南省,1
I-141,毕阿史拉则传说,民间文学,4,4,2014,四川省,1
I-142,仓颉传说,民间文学,4,4,2014,陕西省,2
I-143,骆驼泉传说,民间文学,4,4,2014,青海省,1
I-144,回族民间故事,民间文学,4,4,2014,宁夏回族自治区,1
I-145,广禅侯故事,民间文学,4,4,2014,山西省,1
I-146,解缙故事,民间文学,4,4,2014,江西省,1
I-147,壮族百鸟衣故事,民间文学,4,4,2014,广西壮族自治区,1
I-148,阿凡提故事,民间文学,4,4,2014,新疆维吾尔自治区,1
I-149,广阳镇民间故事,民间文学,4,4,2014,重庆市,1
I-15,伍家沟民间故事,民间文学,1,1,2006,湖北省,1
I-150,西王母神话,民间文学,4,4,2014,新疆维吾尔自治区,1
I-151,盘王大歌,民间文学,4,4,2014,湖南省,1
I-152,玛牧,民间文学,4,4,2014,四川省,1
I-153,黑白战争,民间文学,4,4,2014,云南省,1
I-154,祁家延西,民间文学,4,4,2014,青海省,1
I-155,常山喝彩歌谣,民间文学,4,4,2014,浙江省,1
I-156,八大处传说,民间文学,5,5,2021,北京市,1
I-157,玄奘传说,民间文学,5,5,2021,河南省,1
I-158,女娲传说,民间文学,5,5,2021,湖北省,1
I-159,老司城传说,民间文学,5,5,2021,湖南省,1
I-16,下堡坪民间故事,民间文学,1,1,2006,湖北省,1
I-160,珠玑巷人南迁传说,民间文学,5,5,2021,广东省,1
I-161,张骞传说,民间文学,5,5,2021,陕西省,1
I-162,藏族民间传说(年保玉则传说),民间文学,5,5,2021,青海省,1
I-163,鄂温克族民间故事,民间文学,5,5,2021,内蒙古自治区,1
I-164,包公故事,民间文学,5,5,2021,安徽省,1
I-165,仫佬族古歌,民间文学,5,5,2021,广西壮族自治区,1
I-166,巴狄雄萨滚,民间文学,5,5,2021,贵州省,1
I-167,都玛简收,民间文学,5,5,2021,云南省,1
I-17,走马镇民间故事,民间文学,1,1,2006,重庆市,1
I-18,古渔雁民间故事,民间文学,1,1,2006,辽宁省,1
I-19,喀左东蒙民间故事,民间文学,1,1,2006,辽宁省,1
I-2,布洛陀,民间文学,1,1,2006,广西壮族自治区,1
I-20,谭振山民间故事,民间文学,1,1,2006,辽宁省,1
I-21,河间歌诗,民间文学,1,1,2006,河北省,1
I-22,吴歌,民间文学,1,2,2006,上海市、江苏省,3
I-23,刘三姐歌谣,民间文学,1,1,2006,广西壮族自治区,1
I-24,四季生产调,民间文学,1,1,2006,云南省,1
I-25,玛纳斯,民间文学,1,1,2006,新疆维吾尔自治区,2
I-26,江格尔,民间文学,1,5,2006,内蒙古自治区、新疆维吾尔自治区,5
I-27,格萨(斯)尔,民间文学,1,4,2006,中直单位、云南省、内蒙古自治区、四川省、新疆维吾尔自治区、甘肃省、西藏自治区、青海省,9
I-28,阿诗玛,民间文学,1,1,2006,云南省,1
I-29,拉仁布与吉门索,民间文学,1,1,2006,青海省,1
I-3,遮帕麻和遮咪麻,民间文学,1,1,2006,云南省,1
I-30,畲族小说歌,民间文学,1,1,2006,福建省,1
I-31,青林寺谜语,民间文学,1,2,2006,广东省、湖北省,2
I-32,八达岭长城传说,民间文学,2,2,2008,北京市,1
I-33,永定河传说,民间文学,2,2,2008,北京市,1
I-34,杨家将传说(穆桂英传说),民间文学,2,4,2008,北京市、天津市、山西省,3
I-35,尧的传说,民间文学,2,3,2008,山东省、山西省,2
I-36,牛郎织女传说,民间文学,2,3,2008,山东省、山西省、陕西省,3
I-37,西湖传说,民间文学,2,2,2008,浙江省,1
I-38,刘伯温传说,民间文学,2,2,2008,浙江省,2
I-39,黄初平(黄大仙)传说,民间文学,2,2,2008,浙江省,1
I-4,牡帕密帕,民间文学,1,1,2006,云南省,1
I-40,观音传说,民间文学,2,2,2008,浙江省,1
I-41,徐福东渡传说,民间文学,2,3,2008,山东省、江苏省、浙江省,5
I-42,陶朱公传说,民间文学,2,2,2008,山东省,1
I-43,麒麟传说,民间文学,2,2,2008,山东省,2
I-44,鲁班传说,民间文学,2,2,2008,山东省,2
I-45,八仙传说,民间文学,2,2,2008,山东省,1
I-46,秃尾巴老李的传说,民间文学,2,2,2008,山东省,4
I-47,屈原传说,民间文学,2,2,2008,湖北省,1
I-48,王昭君传说,民间文学,2,2,2008,湖北省,1
I-49,炎帝神农传说,民间文学,2,2,2008,湖北省,2
I-5,刻道,民间文学,1,1,2006,贵州省,1
I-50,木兰传说,民间文学,2,3,2008,河南省、湖北省、陕西省,3
I-51,巴拉根仓的故事,民间文学,2,2,2008,内蒙古自治区,1
I-52,北票民间故事,民间文学,2,2,2008,辽宁省,1
I-53,满族民间故事,民间文学,2,2,2008,辽宁省,1
I-54,徐文长故事,民间文学,2,2,2008,浙江省,1
I-55,崂山民间故事,民间文学,2,2,2008,山东省,1
I-56,都镇湾故事,民间文学,2,2,2008,湖北省,1
I-57,盘古神话,民间文学,2,2,2008,河南省,2
I-58,邵原神话群,民间文学,2,2,2008,河南省,1
I-59,嘎达梅林,民间文学,2,2,2008,内蒙古自治区,1
I-6,白蛇传传说,民间文学,1,1,2006,江苏省、浙江省,2
I-60,科尔沁潮尔史诗,民间文学,2,2,2008,内蒙古自治区,1
I-61,仰阿莎,民间文学,2,2,2008,贵州省,1
I-62,布依族盘歌,民间文学,2,2,2008,贵州省,1
I-63,梅葛,民间文学,2,2,2008,云南省,1
I-64,查姆,民间文学,2,2,2008,云南省,1
I-65,达古达楞格莱标,民间文学,2,2,2008,云南省,1
I-66,哈尼哈吧,民间文学,2,2,2008,云南省,1
I-67,召树屯与喃木诺娜,民间文学,2,2,2008,云南省,1
I-68,米拉尕黑,民间文学,2,2,2008,甘肃省,1
I-69,康巴拉伊,民间文学,2,2,2008,青海省,1
I-7,梁祝传说,民间文学,1,1,2006,山东省、江苏省、河南省、浙江省,6
I-70,汗青格勒,民间文学,2,2,2008,青海省,1
I-71,维吾尔族达斯坦,民间文学,2,2,2008,新疆维吾尔自治区,1
I-72,哈萨克族达斯坦,民间文学,2,2,2008,新疆维吾尔自治区,3
I-73,珠郎娘美,民间文学,2,2,2008,贵州省,2
I-74,司岗里,民间文学,2,3,2008,云南省,2
I-75,彝族克智,民间文学,2,2,2008,四川省,1
I-76,苗族贾理,民间文学,2,2,2008,贵州省,1
I-77,藏族婚宴十八说,民间文学,2,2,2008,青海省,1
I-78,童谣(北京童谣),民间文学,2,5,2008,云南省、北京市、浙江省、福建省,4
I-79,桐城歌,民间文学,2,2,2008,安徽省,1
I-8,孟姜女传说,民间文学,1,4,2006,山东省、河北省、湖南省,5
I-80,土家族梯玛歌,民间文学,2,2,2008,湖南省,1
I-81,雷州歌,民间文学,2,2,2008,广东省,1
I-82,壮族嘹歌,民间文学,2,2,2008,广西壮族自治区,1
I-83,柯尔克孜约隆,民间文学,2,2,2008,新疆维吾尔自治区,2
I-84,笑话(万荣笑话),民间文学,2,2,2008,山西省,1
I-85,天坛传说,民间文学,3,3,2011,北京市,1
I-86,曹雪芹传说,民间文学,3,3,2011,北京市,1
I-87,契丹始祖传说,民间文学,3,3,2011,河北省,1
I-88,赵氏孤儿传说,民间文学,3,3,2011,山西省,1
I-89,白马拖缰传说,民间文学,3,3,2011,山西省,1
I-9,董永传说,民间文学,1,3,2006,山东省、山西省、江苏省、河南省、湖北省,7
I-90,舜的传说,民间文学,3,3,2011,山东省、山西省,2
I-91,禹的传说,民间文学,3,5,2011,四川省、湖北省,3
I-92,防风传说,民间文学,3,3,2011,浙江省,1
I-93,盘瓠传说,民间文学,3,3,2011,湖南省,1
I-94,庄子传说,民间文学,3,3,2011,山东省,1
I-95,柳毅传说,民间文学,3,3,2011,山东省,1
I-96,禅宗祖师传说,民间文学,3,5,2011,广东省、湖北省,2
I-97,布袋和尚传说,民间文学,3,3,2011,浙江省,1
I-98,钱王传说,民间文学,3,3,2011,浙江省,1
I-99,苏东坡传说,民间文学,3,4,2011,浙江省、湖北省,2
