project_code,project_name,category,min_batch,max_batch,first_publish_year,province_list,protection_units,subitem_count
I-3,遮帕麻和遮咪麻,民间文学,1,1,2006,云南省,1,1
I-30,畲族小说歌,民间文学,1,1,2006,福建省,1,1
I-31,青林寺谜语,民间文学,1,2,2006,广东省、湖北省,2,2
I-32,八达岭长城传说,民间文学,2,2,2008,北京市,1,1
I-33,永定河传说,民间文学,2,2,2008,北京市,1,1
I-34,杨家将传说(穆桂英传说),民间文学,2,4,2008,北京市、天津市、山西省,3,3
I-35,尧的传说,民间文学,2,3,2008,山东省、山西省,2,2
I-36,牛郎织女传说,民间文学,2,3,2008,山东省、山西省、陕西省,3,3
I-37,西湖传说,民间文学,2,2,2008,浙江省,1,1
I-38,刘伯温传说,民间文学,2,2,2008,浙江省,2,2
I-39,黄初平(黄大仙)传说,民间文学,2,2,2008,浙江省,1,1
I-4,牡帕密帕,民间文学,1,1,2006,云南省,1,1
I-40,观音传说,民间文学,2,2,2008,浙江省,1,1
I-41,徐福东渡传说,民间文学,2,3,2008,山东省、江苏省、浙江省,5,5
I-42,陶朱公传说,民间文学,2,2,2008,山东省,1,1
I-43,麒麟传说,民间文学,2,2,2008,山东省,2,2
I-44,鲁班传说,民间文学,2,2,2008,山东省,2,2
I-45,八仙传说,民间文学,2,2,2008,山东省,1,1
I-46,秃尾巴老李的传说,民间文学,2,2,2008,山东省,4,4
I-47,屈原传说,民间文学,2,2,2008,湖北省,1,1
I-48,王昭君传说,民间文学,2,2,2008,湖北省,1,1
I-49,炎帝神农传说,民间文学,2,2,2008,湖北省,2,2
I-5,刻道,民间文学,1,1,2006,贵州省,1,1
I-50,木兰传说,民间文学,2,3,2008,河南省、湖北省、陕西省,3,3
I-51,巴拉根仓的故事,民间文学,2,2,2008,内蒙古自治区,1,1
I-52,北票民间故事,民间文学,2,2,2008,辽宁省,1,1
I-53,满族民间故事,民间文学,2,2,2008,辽宁省,1,1
I-54,徐文长故事,民间文学,2,2,2008,浙江省,1,1
I-55,崂山民间故事,民间文学,2,2,2008,山东省,1,1
I-56,都镇湾故事,民间文学,2,2,2008,湖北省,1,1
I-57,盘古神话,民间文学,2,2,2008,河南省,2,2
I-58,邵原神话群,民间文学,2,2,2008,河南省,1,1
I-59,嘎达梅林,民间文学,2,2,2008,内蒙古自治区,1,1
I-6,白蛇传传说,民间文学,1,1,2006,江苏省、浙江省,2,2
I-60,科尔沁潮尔史诗,民间文学,2,2,2008,内蒙古自治区,1,1
I-61,仰阿莎,民间文学,2,2,2008,贵州省,1,1
I-62,布依族盘歌,民间文学,2,2,2008,贵州省,1,1
I-63,梅葛,民间文学,2,2,2008,云南省,1,1
I-64,查姆,民间文学,2,2,2008,云南省,1,1
