inheritor_id,name,gender,ethnicity,project_code,project_code_raw,child_num,project_name,category,region_raw,province,inheritor_batch_no,publish_year,source_url,collected_at,raw_record_id
inheritor_741,达哇扎巴,男,藏族,I-27,I-27,I-027_01_630000,格萨(斯)尔,民间文学,青海省,青海省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,741
inheritor_742,王永福,男,土族,I-27,I-27,I-027_01_620000,格萨(斯)尔,民间文学,甘肃省,甘肃省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,742
inheritor_743,阿尼,男,藏族,I-27,I-27,I-027_01_510000,格萨(斯)尔,民间文学,四川省,四川省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,743
inheritor_744,吕日甫,男,蒙古族,I-27,I-27,I-027_01_650000,格萨(斯)尔,民间文学,新疆维吾尔自治区,新疆维吾尔自治区,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,744
inheritor_745,毕华玉,男,彝族,I-28,I-28,I-028_01_530126,阿诗玛,民间文学,云南省石林彝族自治县,云南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,745
inheritor_746,王玉芳,女,彝族,I-28,I-28,I-028_01_530126,阿诗玛,民间文学,云南省石林彝族自治县,云南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,746
inheritor_747,何全梅,女,土族,I-29,I-29,I-029_01_630223,拉仁布与吉门索,民间文学,青海省互助土族自治县,青海省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,747
inheritor_2508,王保合,男,汉族,VI-1,VI-1,VI-001_01_130928,吴桥杂技,传统体育、游艺与杂技,河北省吴桥县,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2508
inheritor_2509,傅文刚,男,汉族,VI-3,VI-3,VI-003_01_110000,天桥中幡,传统体育、游艺与杂技,北京市,北京市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2509
inheritor_2510,张国良,男,汉族,VI-4,VI-4,VI-004_01_110102,抖空竹,传统体育、游艺与杂技,北京市宣武区,北京市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2510
inheritor_2511,李连元,男,汉族,VI-4,VI-4,VI-004_01_110102,抖空竹,传统体育、游艺与杂技,北京市宣武区,北京市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2511
inheritor_2512,阿迪力·吾休尔,男,维吾尔族,VI-5,VI-5,VI-005_01_650000,维吾尔族达瓦孜,传统体育、游艺与杂技,新疆维吾尔自治区,新疆维吾尔自治区,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2512
inheritor_2513,赵剑英,女,汉族,VI-8,VI-8,VI-008_01_420300,武当武术,传统体育、游艺与杂技,湖北省十堰市,湖北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2513
inheritor_2514,曹仕杰,男,回族,VI-9,VI-9,VI-009_01_120000,回族重刀武术,传统体育、游艺与杂技,天津市,天津市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2514
inheritor_2515,石同鼎,男,回族,VI-10,VI-10,VI-010_01_130900,沧州武术,传统体育、游艺与杂技,河北省沧州市,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2515
inheritor_2516,杨振河,男,汉族,VI-11,VI-11,VI-011_01_130429,太极拳(杨氏太极拳),传统体育、游艺与杂技,河北省永年县,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2516
inheritor_2517,韩会明,男,汉族,VI-11,VI-11,VI-011_01_130429,太极拳(杨氏太极拳),传统体育、游艺与杂技,河北省永年县,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2517
inheritor_2518,王西安,男,汉族,VI-11,VI-11,VI-011_01_410800,太极拳(陈氏太级拳),传统体育、游艺与杂技,河南省焦作市,河南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2518
inheritor_2519,朱天才,男,汉族,VI-11,VI-11,VI-011_01_410800,太极拳(陈氏太级拳),传统体育、游艺与杂技,河南省焦作市,河南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2519
inheritor_2520,张西岭,男,汉族,VI-12,VI-12,VI-012_01_130500,邢台梅花拳,传统体育、游艺与杂技,河北省邢台市,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2520
inheritor_2521,李玉琢,男,汉族,VI-12,VI-12,VI-012_01_130500,邢台梅花拳,传统体育、游艺与杂技,河北省邢台市,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2521
inheritor_2522,胡道正,男,汉族,VI-13,VI-13,VI-013_01_130582,沙河藤牌阵,传统体育、游艺与杂技,河北省沙河市,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2522
inheritor_2596,霍庆顺,男,汉族,VII-1,VII-1,VII-001_01_120000,杨柳青木版年画,传统美术,天津市,天津市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2596
inheritor_2597,霍庆有,男,汉族,VII-1,VII-1,VII-001_01_120000,杨柳青木版年画,传统美术,天津市,天津市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2597
inheritor_2598,冯庆矩,男,汉族,VII-1,VII-1,VII-001_01_120000,杨柳青木版年画,传统美术,天津市,天津市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2598
inheritor_2599,王文达,男,汉族,VII-1,VII-1,VII-001_01_120000,杨柳青木版年画,传统美术,天津市,天津市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2599
inheritor_2600,马习钦,男,汉族,VII-2,VII-2,VII-002_01_131123,武强木版年画,传统美术,河北省武强县,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2600
inheritor_2601,杨洛书,男,汉族,VII-5,VII-5,VII-005_01_370700,杨家埠木版年画,传统美术,山东省潍坊市,山东省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2601
inheritor_2602,吕臻立,男,汉族,VII-6,VII-6,VII-006_01_370785,高密扑灰年画,传统美术,山东省高密市,山东省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2602
inheritor_2603,郭泰运,男,汉族,VII-7,VII-7,VII-007_01_410200,朱仙镇木版年画,传统美术,河南省开封市,河南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2603
inheritor_2604,钟海仙,男,汉族,VII-8,VII-8,VII-008_01_430524,滩头木版年画,传统美术,湖南省隆回县,湖南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2604
inheritor_2605,李咸陆,男,汉族,VII-8,VII-8,VII-008_01_430524,滩头木版年画,传统美术,湖南省隆回县,湖南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2605
inheritor_2606,冯炳棠,男,汉族,VII-9,VII-9,VII-009_01_440600,佛山木版年画,传统美术,广东省佛山市,广东省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2606
inheritor_2607,陈兴才,男,汉族,VII-11,VII-11,VII-011_01_510600,绵竹木版年画,传统美术,四川省德阳市,四川省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2607
inheritor_2608,邰瑜,男,汉族,VII-12,VII-12,VII-012_01_610322,凤翔木版年画,传统美术,陕西省凤翔县,陕西省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2608
inheritor_2609,邰立平,男,汉族,VII-12,VII-12,VII-012_01_610322,凤翔木版年画,传统美术,陕西省凤翔县,陕西省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2609
inheritor_2610,和训,男,纳西族,VII-13,VII-13,VII-013_01_530700,纳西族东巴画,传统美术,云南省丽江市,云南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2610
inheritor_2611,丹巴绕旦,男,藏族,VII-14,VII-14,VII-014_01_540000a,藏族唐卡(勉唐画派),传统美术,西藏自治区,西藏自治区,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2611
inheritor_2612,格桑次旦,男,藏族,VII-14,VII-14,VII-014_01_540000a,藏族唐卡(勉唐画派),传统美术,西藏自治区,西藏自治区,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2612
inheritor_2613,王习三,男,汉族,VII-15,VII-15,VII-015_01_131100,衡水内画,传统美术,河北省衡水市,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2613
inheritor_2614,周兆明,男,汉族,VII-16,VII-16,VII-016_01_130726,剪纸(蔚县剪纸),传统美术,河北省蔚县,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2614
inheritor_2615,张冬阁,男,满族,VII-16,VII-16,VII-016_01_130826,剪纸(丰宁满族剪纸),传统美术,河北省丰宁满族自治县,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2615
inheritor_2616,王计汝,女,汉族,VII-16,VII-16,VII-016_01_141129,剪纸(中阳剪纸),传统美术,山西省中阳县,山西省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2616
inheritor_2617,汪秀霞,女,满族,VII-16,VII-16,VII-016_01_210700,剪纸(医巫闾山满族剪纸),传统美术,辽宁省锦州市,辽宁省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2617
inheritor_2618,赵志国,男,汉族,VII-16,VII-16,VII-016_01_210700,剪纸(医巫闾山满族剪纸),传统美术,辽宁省锦州市,辽宁省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2618
inheritor_2619,张秀芳,女,汉族,VII-16,VII-16,VII-016_01_321000,剪纸(扬州剪纸),传统美术,江苏省扬州市,江苏省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2619
inheritor_2620,林邦栋,男,汉族,VII-16,VII-16,VII-016_01_330382,剪纸(乐清细纹刻纸),传统美术,浙江省乐清市,浙江省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2620
inheritor_2621,陈余华,男,汉族,VII-16,VII-16,VII-016_01_330382,剪纸(乐清细纹刻纸),传统美术,浙江省乐清市,浙江省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2621
inheritor_2622,思华章,男,傣族,VII-16,VII-16,VII-016_01_533103,剪纸(傣族剪纸),传统美术,云南省潞西市,云南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2622
inheritor_2623,李秀芳,女,汉族,VII-16,VII-16,VII-016_01_610624,剪纸(安塞剪纸),传统美术,陕西省安塞县,陕西省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2623
inheritor_2624,高金爱,女,汉族,VII-16,VII-16,VII-016_01_610624,剪纸(安塞剪纸),传统美术,陕西省安塞县,陕西省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2624
inheritor_2625,戴明教,女,汉族,VII-17,VII-17,VII-017_01_310117,顾绣,传统美术,上海市松江区,上海市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2625
inheritor_2626,李娥瑛,女,汉族,VII-18,VII-18,VII-018_01_320500,苏绣,传统美术,江苏省苏州市,江苏省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2626
inheritor_2627,顾文霞,女,汉族,VII-18,VII-18,VII-018_01_320500,苏绣,传统美术,江苏省苏州市,江苏省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2627
inheritor_2628,刘爱云,女,汉族,VII-19,VII-19,VII-019_01_430100,湘绣,传统美术,湖南省长沙市,湖南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2628
inheritor_2629,陈少芳,女,汉族,VII-20,VII-20,VII-020_01_440100,粤绣(广绣),传统美术,广东省广州市,广东省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2629
inheritor_2630,林智成,男,汉族,VII-20,VII-20,VII-020_01_445100,粤绣(潮绣),传统美术,广东省潮州市,广东省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2630
inheritor_2631,郝淑萍,女,汉族,VII-21,VII-21,VII-021_01_510100,蜀绣,传统美术,四川省成都市,四川省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,2631
