inheritor_id,name,project_code,child_num,province,match_status,matched_subitem_id,reason
inheritor_2609,邰立平,VII-12,VII-012_01_610322,陕西省,matched,subitem_13911,child_num 精确匹配
inheritor_2610,和训,VII-13,VII-013_01_530700,云南省,matched,subitem_13912,child_num 精确匹配
inheritor_2611,丹巴绕旦,VII-14,VII-014_01_540000a,西藏自治区,matched,subitem_13914,child_num 精确匹配
inheritor_2612,格桑次旦,VII-14,VII-014_01_540000a,西藏自治区,matched,subitem_13914,child_num 精确匹配
inheritor_2613,王习三,VII-15,VII-015_01_131100,河北省,matched,subitem_13920,child_num 精确匹配
inheritor_2614,周兆明,VII-16,VII-016_01_130726,河北省,matched,subitem_13924,child_num 精确匹配
inheritor_2615,张冬阁,VII-16,VII-016_01_130826,河北省,matched,subitem_13925,child_num 精确匹配
inheritor_2616,王计汝,VII-16,VII-016_01_141129,山西省,matched,subitem_13926,child_num 精确匹配
inheritor_2617,汪秀霞,VII-16,VII-016_01_210700,辽宁省,matched,subitem_13927,child_num 精确匹配
inheritor_2618,赵志国,VII-16,VII-016_01_210700,辽宁省,matched,subitem_13927,child_num 精确匹配
inheritor_2619,张秀芳,VII-16,VII-016_01_321000,江苏省,matched,subitem_13928,child_num 精确匹配
inheritor_2620,林邦栋,VII-16,VII-016_01_330382,浙江省,matched,subitem_13929,child_num 精确匹配
inheritor_2621,陈余华,VII-16,VII-016_01_330382,浙江省,matched,subitem_13929,child_num 精确匹配
inheritor_2622,思华章,VII-16,VII-016_01_533103,云南省,matched,subitem_13933,child_num 精确匹配
inheritor_2623,李秀芳,VII-16,VII-016_01_610624,陕西省,matched,subitem_13934,child_num 精确匹配
inheritor_2624,高金爱,VII-16,VII-016_01_610624,陕西省,matched,subitem_13934,child_num 精确匹配
inheritor_2625,戴明教,VII-17,VII-017_01_310117,上海市,matched,subitem_13977,child_num 精确匹配
inheritor_2626,李娥瑛,VII-18,VII-018_01_320500,江苏省,matched,subitem_13978,child_num 精确匹配
inheritor_2627,顾文霞,VII-18,VII-018_01_320500,江苏省,matched,subitem_13978,child_num 精确匹配
inheritor_2628,刘爱云,VII-19,VII-019_01_430100,湖南省,matched,subitem_13982,child_num 精确匹配
inheritor_2629,陈少芳,VII-20,VII-020_01_440100,广东省,matched,subitem_13983,child_num 精确匹配
inheritor_2630,林智成,VII-20,VII-020_01_445100,广东省,matched,subitem_13984,child_num 精确匹配
inheritor_2631,郝淑萍,VII-21,VII-021_01_510100,四川省,matched,subitem_13985,child_num 精确匹配
inheritor_2632,李发秀,VII-24,VII-024_01_630223,青海省,matched,subitem_13993,child_num 精确匹配
inheritor_2633,石九梅,VII-25,VII-025_01_421127,湖北省,matched,subitem_13994,child_num 精确匹配
inheritor_2634,奉雪妹,VII-25,VII-025_01_430524,湖南省,matched,subitem_13995,child_num 精确匹配
inheritor_2635,贺梅英,VII-26,VII-026_01_621000,甘肃省,matched,subitem_13999,child_num 精确匹配
inheritor_2636,孙森,VII-27,VII-027_01_110101,北京市,matched,subitem_14001,child_num 精确匹配
inheritor_2637,王树文,VII-27,VII-027_01_110101,北京市,matched,subitem_14001,child_num 精确匹配
inheritor_2638,江春源,VII-28,VII-028_01_321000,江苏省,matched,subitem_14004,child_num 精确匹配
inheritor_2639,顾永骏,VII-28,VII-028_01_321000,江苏省,matched,subitem_14004,child_num 精确匹配
inheritor_2640,王运岫,VII-29,VII-029_01_210323,辽宁省,matched,subitem_14005,child_num 精确匹配
inheritor_2641,李洪斌,VII-30,VII-030_01_210900,辽宁省,matched,subitem_14006,child_num 精确匹配
inheritor_2642,黄越肃,VII-31,VII-031_01_620900,甘肃省,matched,subitem_14007,child_num 精确匹配
inheritor_2643,卢进桥,VII-34,VII-034_01_130634,河北省,matched,subitem_14011,child_num 精确匹配
inheritor_2644,甄彦苍,VII-34,VII-034_01_130634,河北省,matched,subitem_14011,child_num 精确匹配
inheritor_2645,冯久和,VII-35,VII-035_01_350100,福建省,matched,subitem_14012,child_num 精确匹配
inheritor_2646,林亨云,VII-35,VII-035_01_350100,福建省,matched,subitem_14012,child_num 精确匹配
inheritor_2647,方新中,VII-37,VII-037_01_341000,安徽省,matched,subitem_14014,child_num 精确匹配
inheritor_2648,冯有进,VII-37,VII-037_01_341000,安徽省,matched,subitem_14014,child_num 精确匹配
inheritor_2649,李得浓,VII-40,VII-040_01_445100,广东省,matched,subitem_14020,child_num 精确匹配
inheritor_2650,陈培臣,VII-40,VII-040_01_445100,广东省,matched,subitem_14020,child_num 精确匹配
inheritor_2651,陆光正,VII-43,VII-043_01_330783,浙江省,matched,subitem_14026,child_num 精确匹配
inheritor_2652,冯文土,VII-43,VII-043_01_330783,浙江省,matched,subitem_14026,child_num 精确匹配
inheritor_2653,徐竹初,VII-44,VII-044_01_350600,福建省,matched,subitem_14027,child_num 精确匹配
inheritor_2654,徐聪亮,VII-44,VII-044_01_350600,福建省,matched,subitem_14027,child_num 精确匹配
inheritor_2655,曾剑潭,VII-46,VII-046_01_430500,湖南省,matched,subitem_14032,child_num 精确匹配
inheritor_2656,喻湘涟,VII-47,VII-047_01_320200,江苏省,matched,subitem_14041,child_num 精确匹配
inheritor_2657,王南仙,VII-47,VII-047_01_320200,江苏省,matched,subitem_14041,child_num 精确匹配
inheritor_2658,胡深,VII-47,VII-047_01_610322,陕西省,matched,subitem_14043,child_num 精确匹配
inheritor_2659,王学锋,VII-47,VII-047_01_410621,河南省,matched,subitem_14042,child_num 精确匹配
inheritor_2660,更登达吉,VII-49,VII-049_01_632321,青海省,matched,subitem_14056,child_num 精确匹配
inheritor_2661,启加,VII-49,VII-049_01_632321,青海省,matched,subitem_14056,child_num 精确匹配
inheritor_2662,李湘满,VII-50,VII-050_01_331024,浙江省,matched,subitem_14058,child_num 精确匹配
inheritor_2663,陈伟炎,VII-50,VII-050_01_330481,浙江省,matched,subitem_14057,child_num 精确匹配
inheritor_2664,李珠琴,VII-50,VII-050_01_350500,福建省,matched,subitem_14059,child_num 精确匹配
inheritor_2665,蔡炳汉,VII-50,VII-050_01_350500,福建省,matched,subitem_14059,child_num 精确匹配
inheritor_2666,杨增贵,VII-50,VII-050_01_630123,青海省,matched,subitem_14061,child_num 精确匹配
inheritor_2667,俞樟根,VII-51,VII-051_01_330683,浙江省,matched,subitem_14073,child_num 精确匹配
inheritor_2974,汪寅仙,VIII-1,VIII-001_01_320282,江苏省,matched,subitem_14261,child_num 精确匹配
inheritor_2975,王京胜,VIII-2,VIII-002_01_341282,安徽省,matched,subitem_14262,child_num 精确匹配
inheritor_2976,卢群山,VIII-2,VIII-002_01_341282,安徽省,matched,subitem_14262,child_num 精确匹配
inheritor_2977,刘泽棉,VIII-3,VIII-003_01_440600,广东省,matched,subitem_14263,child_num 精确匹配
inheritor_2978,羊拜亮,VIII-4,VIII-004_01_469026,海南省,matched,subitem_14264,child_num 精确匹配
inheritor_2979,阿不都热合曼·买买提明,VIII-6,VIII-006_01_653123,新疆维吾尔自治区,matched,subitem_14268,child_num 精确匹配
inheritor_2980,孟树锋,VIII-8,VIII-008_01_610200,陕西省,matched,subitem_14271,child_num 精确匹配
inheritor_2981,徐朝兴,VIII-9,VIII-009_01_331181,浙江省,matched,subitem_14272,child_num 精确匹配
inheritor_2982,刘立忠,VIII-10,VIII-010_01_130406,河北省,matched,subitem_14273,child_num 精确匹配
inheritor_2983,苏清河,VIII-11,VIII-011_01_350526,福建省,matched,subitem_14274,child_num 精确匹配
inheritor_2984,李义仓,VIII-12,VIII-012_01_610525,陕西省,matched,subitem_14275,child_num 精确匹配
inheritor_2985,朱枫,VIII-13,VIII-013_01_320100,江苏省,matched,subitem_14276,child_num 精确匹配
inheritor_2986,钱小萍,VIII-14,VIII-014_01_320500,江苏省,matched,subitem_14278,child_num 精确匹配
inheritor_2987,王金山,VIII-15,VIII-015_01_320500,江苏省,matched,subitem_14279,child_num 精确匹配
inheritor_2988,叶永洲,VIII-16,VIII-016_01_510100,四川省,matched,subitem_14280,child_num 精确匹配
inheritor_2989,刘晨曦,VIII-16,VIII-016_01_510100,四川省,matched,subitem_14280,child_num 精确匹配
inheritor_2990,康新琴,VIII-17,VIII-017_01_310104,上海市,matched,subitem_14281,child_num 精确匹配
inheritor_2991,叶水云,VIII-18,VIII-018_01_433100,湖南省,matched,subitem_14282,child_num 精确匹配
inheritor_2992,刘代娥,VIII-18,VIII-018_01_433100,湖南省,matched,subitem_14282,child_num 精确匹配
inheritor_2993,容亚美,VIII-19,VIII-019_01_469027,海南省,matched,subitem_14286,child_num 精确匹配
inheritor_2994,格桑,VIII-21,VIII-021_01_542200,西藏自治区,matched,subitem_14289,child_num 精确匹配
inheritor_2995,杨永良,VIII-22,VIII-022_01_630122,青海省,matched,subitem_14291,child_num 精确匹配
inheritor_2996,牙生·阿不都热合曼,VIII-23,VIII-023_01_652100,新疆维吾尔自治区,matched,subitem_14292,child_num 精确匹配
inheritor_2997,尧尔达西·阿洪,VIII-23,VIII-023_01_652100,新疆维吾尔自治区,matched,subitem_14292,child_num 精确匹配
inheritor_2998,吴元新,VIII-24,VIII-024_01_320600,江苏省,matched,subitem_14296,child_num 精确匹配
inheritor_2999,张仕绅,VIII-26,VIII-026_01_532901,云南省,matched,subitem_14304,child_num 精确匹配
inheritor_3000,薛福鑫,VIII-27,VIII-027_01_320500,江苏省,matched,subitem_14306,child_num 精确匹配
inheritor_3001,陆耀祖,VIII-27,VIII-027_01_320500,江苏省,matched,subitem_14306,child_num 精确匹配
inheritor_3002,徐松生,VIII-28,VIII-028_01_350800,福建省,matched,subitem_14307,child_num 精确匹配
inheritor_3003,杨似玉,VIII-30,VIII-030_01_450226,广西壮族自治区,matched,subitem_14313,child_num 精确匹配
inheritor_3004,金梅泉,VIII-32,VIII-032_01_320500,江苏省,matched,subitem_14317,child_num 精确匹配
inheritor_3005,莫厌学,VIII-33,VIII-033_01_522634,贵州省,matched,subitem_14318,child_num 精确匹配
inheritor_3006,王杰锋,VIII-33,VIII-033_01_530624,云南省,matched,subitem_14319,child_num 精确匹配
inheritor_3007,刘泽松,VIII-34,VIII-034_01_520622,贵州省,matched,subitem_14320,child_num 精确匹配
inheritor_3008,姚茂禄,VIII-34,VIII-034_01_520622,贵州省,matched,subitem_14320,child_num 精确匹配
inheritor_3009,吉抓住,VIII-35,VIII-035_01_140522,山西省,matched,subitem_14321,child_num 精确匹配
inheritor_3010,沈新培,VIII-37,VIII-037_01_331181,浙江省,matched,subitem_14325,child_num 精确匹配
inheritor_3011,施金水,VIII-38,VIII-038_01_330100,浙江省,matched,subitem_14327,child_num 精确匹配
inheritor_3012,徐祖兴,VIII-38,VIII-038_01_330100,浙江省,matched,subitem_14327,child_num 精确匹配
inheritor_3013,杨光辉,VIII-39,VIII-039_01_340200,安徽省,matched,subitem_14329,child_num 精确匹配
inheritor_3014,杨光宾,VIII-40,VIII-040_01_522634,贵州省,matched,subitem_14331,child_num 精确匹配
inheritor_3015,项老赛,VIII-41,VIII-041_01_533124,云南省,matched,subitem_14339,child_num 精确匹配
inheritor_3016,马维雄,VIII-42,VIII-042_01_622927,甘肃省,matched,subitem_14340,child_num 精确匹配
inheritor_3017,冶古白,VIII-42,VIII-042_01_622927,甘肃省,matched,subitem_14340,child_num 精确匹配
inheritor_3018,钱美华,VIII-43,VIII-043_01_110101,北京市,matched,subitem_14341,child_num 精确匹配
inheritor_3019,张同禄,VIII-43,VIII-043_01_110101,北京市,matched,subitem_14341,child_num 精确匹配
inheritor_3020,杨福喜,VIII-44,VIII-044_01_110105,北京市,matched,subitem_14343,child_num 精确匹配
inheritor_3021,文乾刚,VIII-50,VIII-050_01_110101,北京市,matched,subitem_14357,child_num 精确匹配
inheritor_3022,张宇,VIII-52,VIII-052_01_321000,江苏省,matched,subitem_14360,child_num 精确匹配
inheritor_3023,赵如柏,VIII-52,VIII-052_01_321000,江苏省,matched,subitem_14360,child_num 精确匹配
inheritor_3024,郑益坤,VIII-54,VIII-054_01_350100,福建省,matched,subitem_14362,child_num 精确匹配
inheritor_3025,蔡水况,VIII-55,VIII-055_01_350200,福建省,matched,subitem_14363,child_num 精确匹配
inheritor_3026,宋西平,VIII-56,VIII-056_01_510100,四川省,matched,subitem_14364,child_num 精确匹配
inheritor_3027,尹利萍,VIII-56,VIII-056_01_510100,四川省,matched,subitem_14364,child_num 精确匹配
inheritor_3028,赖高淮,VIII-58,VIII-058_01_510500,四川省,matched,subitem_14366,child_num 精确匹配
inheritor_3029,沈才洪,VIII-58,VIII-058_01_510500,四川省,matched,subitem_14366,child_num 精确匹配
inheritor_3030,王阿牛,VIII-60,VIII-060_01_330600,浙江省,matched,subitem_14368,child_num 精确匹配
inheritor_3031,严昌武,VIII-64,VIII-064_01_510923,四川省,matched,subitem_14375,child_num 精确匹配
inheritor_3032,邢春荣,VIII-65,VIII-065_01_341823,安徽省,matched,subitem_14376,child_num 精确匹配
inheritor_3033,罗守全,VIII-67,VIII-067_01_520100,贵州省,matched,subitem_14378,child_num 精确匹配
inheritor_3034,刘世阳,VIII-67,VIII-067_01_522325,贵州省,matched,subitem_14379,child_num 精确匹配
inheritor_3035,和志本,VIII-68,VIII-068_01_533421,云南省,matched,subitem_14384,child_num 精确匹配
inheritor_3036,托乎提·吐尔迪,VIII-70,VIII-070_01_652100,新疆维吾尔自治区,matched,subitem_14386,child_num 精确匹配
inheritor_3037,杨占尧,VIII-71,VIII-071_01_511126,四川省,matched,subitem_14390,child_num 精确匹配
inheritor_3038,庄富泉,VIII-71,VIII-071_01_330183,浙江省,matched,subitem_14389,child_num 精确匹配
